client_id,session_id,page_id,timestamp,action,duration_seconds
926,1,4441,2024-01-11 11:03:07.522494,telechargement,69
139,2,4200,2024-02-18 11:03:07.522507,telechargement,21
264,3,4783,2023-11-18 11:03:07.522511,clic,176
310,4,4211,2023-08-07 11:03:07.522514,telechargement,230
232,5,4018,2023-08-06 11:03:07.522516,telechargement,125
267,6,4950,2023-07-19 11:03:07.522519,telechargement,147
639,7,4707,2024-06-24 11:03:07.522522,telechargement,134
50,8,4194,2024-04-11 11:03:07.522525,telechargement,99
216,9,4748,2024-03-08 11:03:07.522528,telechargement,297
621,10,4199,2024-06-04 11:03:07.522531,clic,249
975,11,4113,2024-05-20 11:03:07.522533,clic,92
976,12,4906,2023-09-10 11:03:07.522536,clic,125
413,13,4293,2024-01-13 11:03:07.522538,clic,149
371,14,4411,2023-07-23 11:03:07.522541,telechargement,201
784,15,4594,2023-07-06 11:03:07.522544,clic,237
496,16,4308,2024-02-03 11:03:07.522546,clic,123
21,17,4842,2024-02-29 11:03:07.522549,clic,81
70,18,4694,2023-11-27 11:03:07.522551,clic,153
266,19,4054,2023-09-30 11:03:07.522554,telechargement,249
696,20,4933,2023-10-08 11:03:07.522556,telechargement,109
904,21,4251,2023-12-21 11:03:07.522559,clic,277
737,22,4846,2023-07-23 11:03:07.522561,telechargement,17
318,23,4668,2023-07-24 11:03:07.522564,telechargement,90
56,24,4425,2023-10-15 11:03:07.522567,clic,74
486,25,4245,2023-08-27 11:03:07.522569,clic,50
610,26,4657,2023-10-25 11:03:07.522572,telechargement,130
592,27,4911,2024-05-06 11:03:07.522574,clic,273
809,28,4278,2024-05-18 11:03:07.522577,telechargement,244
155,29,4542,2023-09-04 11:03:07.522580,clic,21
514,30,4053,2023-12-14 11:03:07.522583,clic,242
854,31,4059,2024-02-06 11:03:07.522586,clic,135
517,32,4931,2024-01-03 11:03:07.522588,clic,127
298,33,4602,2023-09-24 11:03:07.522591,clic,223
127,34,4136,2023-12-29 11:03:07.522594,telechargement,117
876,35,4254,2024-05-13 11:03:07.522596,clic,90
182,36,4644,2023-09-28 11:03:07.522599,telechargement,13
492,37,4500,2024-01-12 11:03:07.522601,telechargement,277
85,38,4827,2023-12-23 11:03:07.522604,clic,210
334,39,4011,2023-12-08 11:03:07.522607,clic,142
282,40,4385,2023-10-25 11:03:07.522609,telechargement,34
447,41,4736,2023-10-07 11:03:07.522612,telechargement,21
35,42,4890,2024-02-23 11:03:07.522615,clic,240
948,43,4644,2023-11-24 11:03:07.522617,clic,77
459,44,4616,2024-01-14 11:03:07.522620,telechargement,260
534,45,4359,2023-10-12 11:03:07.522622,clic,220
385,46,4466,2023-08-15 11:03:07.522625,clic,109
541,47,4755,2024-06-19 11:03:07.522628,clic,136
755,48,4015,2023-08-06 11:03:07.522630,telechargement,244
923,49,4952,2024-02-15 11:03:07.522633,telechargement,113
697,50,4608,2023-10-10 11:03:07.522635,clic,216
973,51,4257,2023-08-15 11:03:07.522638,clic,208
3,52,4993,2024-06-30 11:03:07.522640,clic,299
395,53,4870,2024-03-09 11:03:07.522643,telechargement,291
509,54,4463,2023-09-10 11:03:07.522645,telechargement,168
195,55,4350,2023-10-25 11:03:07.522648,clic,175
874,56,4311,2023-11-13 11:03:07.522650,clic,192
513,57,4343,2024-04-20 11:03:07.522653,clic,161
124,58,4411,2023-10-24 11:03:07.522655,clic,238
413,59,4351,2023-11-05 11:03:07.522658,telechargement,233
576,60,4295,2024-06-05 11:03:07.522661,clic,105
568,61,4414,2024-06-21 11:03:07.522663,telechargement,160
946,62,4312,2024-04-08 11:03:07.522666,telechargement,275
485,63,4499,2024-02-10 11:03:07.522668,clic,173
25,64,4343,2024-03-07 11:03:07.522670,clic,187
279,65,4519,2023-08-31 11:03:07.522673,clic,254
966,66,4998,2024-03-21 11:03:07.522676,clic,232
193,67,4246,2024-04-28 11:03:07.522678,telechargement,197
499,68,4840,2024-05-26 11:03:07.522681,telechargement,149
899,69,4680,2024-06-03 11:03:07.522683,clic,44
231,70,4204,2023-07-17 11:03:07.522686,telechargement,259
148,71,4967,2024-05-13 11:03:07.522688,telechargement,288
483,72,4798,2023-11-20 11:03:07.522691,telechargement,130
800,73,4393,2024-01-22 11:03:07.522693,clic,47
172,74,4901,2023-08-18 11:03:07.522696,clic,200
43,75,4720,2024-03-11 11:03:07.522698,clic,261
471,76,4018,2023-07-29 11:03:07.522701,clic,199
647,77,4989,2024-02-25 11:03:07.522703,telechargement,266
526,78,4072,2024-01-14 11:03:07.522706,telechargement,294
231,79,4038,2023-09-25 11:03:07.522709,telechargement,293
625,80,4347,2024-01-09 11:03:07.522711,telechargement,207
