client_id,product_id,product_type,subscription_date,amount
81,1,pret,2024-04-02 11:03:07.506172,4489.74
685,2,pret,2023-08-30 11:03:07.506197,2587.81
589,3,compte_courant,2024-04-29 11:03:07.506201,9333.41
47,4,carte_credit,2023-10-26 11:03:07.506205,1917.89
986,5,pret,2024-02-15 11:03:07.506208,9934.0
186,6,compte_courant,2024-01-15 11:03:07.506211,1741.73
800,7,carte_credit,2024-05-02 11:03:07.506215,16199.53
464,8,carte_credit,2024-01-31 11:03:07.506218,16799.67
642,9,pret,2023-09-28 11:03:07.506221,2604.85
751,10,compte_courant,2024-01-21 11:03:07.506224,6423.56
533,11,pret,2023-12-06 11:03:07.506226,7725.65
304,12,compte_courant,2024-04-15 11:03:07.506229,10653.57
247,13,carte_credit,2024-03-24 11:03:07.506232,11816.01
879,14,compte_courant,2024-05-29 11:03:07.506235,16778.67
383,15,compte_courant,2024-06-04 11:03:07.506238,15687.47
571,16,pret,2024-01-26 11:03:07.506240,12207.14
514,17,pret,2023-11-13 11:03:07.506243,17886.16
724,18,carte_credit,2023-10-28 11:03:07.506246,640.47
690,19,compte_courant,2023-12-12 11:03:07.506248,1278.84
910,20,compte_courant,2023-12-04 11:03:07.506251,2660.63
193,21,pret,2024-06-07 11:03:07.506254,8649.38
400,22,carte_credit,2024-04-30 11:03:07.506256,8834.71
858,23,pret,2024-04-25 11:03:07.506259,7357.83
148,24,compte_courant,2024-04-03 11:03:07.506261,5700.62
443,25,pret,2023-12-25 11:03:07.506264,9605.67
735,26,carte_credit,2024-01-09 11:03:07.506266,13291.77
569,27,compte_courant,2023-07-24 11:03:07.506269,15865.67
955,28,carte_credit,2023-07-18 11:03:07.506272,10227.53
586,29,carte_credit,2023-11-29 11:03:07.506275,10978.27
184,30,pret,2024-02-08 11:03:07.506277,18519.68
269,31,pret,2023-12-20 11:03:07.506280,16003.38
752,32,compte_courant,2024-04-20 11:03:07.506282,11038.7
231,33,compte_courant,2023-11-29 11:03:07.506285,7017.35
6,34,pret,2024-04-22 11:03:07.506288,17519.83
66,35,carte_credit,2023-08-27 11:03:07.506291,14790.03
721,36,compte_courant,2024-05-11 11:03:07.506293,7586.12
292,37,carte_credit,2024-06-17 11:03:07.506296,3267.05
940,38,compte_courant,2024-06-21 11:03:07.506298,1441.44
458,39,carte_credit,2023-09-10 11:03:07.506301,1730.98
169,40,carte_credit,2024-06-08 11:03:07.506304,4202.58
357,41,compte_courant,2024-01-26 11:03:07.506306,16986.09
370,42,carte_credit,2024-02-26 11:03:07.506309,8857.22
80,43,pret,2023-10-10 11:03:07.506311,12343.1
756,44,carte_credit,2023-07-10 11:03:07.506314,18114.09
529,45,compte_courant,2024-01-13 11:03:07.506317,4413.51
327,46,carte_credit,2023-12-30 11:03:07.506319,13420.53
60,47,compte_courant,2023-10-30 11:03:07.506323,15665.58
137,48,pret,2023-10-25 11:03:07.506326,3876.45
439,49,compte_courant,2024-04-12 11:03:07.506328,3052.58
505,50,pret,2023-08-29 11:03:07.506331,1058.55
46,51,carte_credit,2023-08-06 11:03:07.506333,4186.13
270,52,compte_courant,2023-12-11 11:03:07.506336,17651.89
786,53,carte_credit,2023-07-27 11:03:07.506338,14842.53
580,54,compte_courant,2024-03-07 11:03:07.506341,10726.26
508,55,compte_courant,2023-12-21 11:03:07.506344,7968.0
371,56,compte_courant,2024-01-19 11:03:07.506346,10411.87
563,57,compte_courant,2024-02-10 11:03:07.506349,1209.33
508,58,pret,2024-04-10 11:03:07.506351,929.2
872,59,compte_courant,2024-03-09 11:03:07.506354,1748.93
668,60,pret,2023-08-13 11:03:07.506357,4209.03
825,61,compte_courant,2023-10-29 11:03:07.506359,17758.12
34,62,carte_credit,2023-12-16 11:03:07.506362,1964.54
419,63,carte_credit,2024-06-27 11:03:07.506365,4399.92
612,64,carte_credit,2024-04-12 11:03:07.506367,9393.47
440,65,pret,2024-06-25 11:03:07.506370,19497.93
497,66,carte_credit,2023-11-30 11:03:07.506373,7687.72
872,67,carte_credit,2023-12-30 11:03:07.506376,18180.83
921,68,carte_credit,2023-09-20 11:03:07.506378,3539.23
130,69,carte_credit,2023-09-23 11:03:07.506381,3011.87
201,70,carte_credit,2024-04-08 11:03:07.506383,10046.76
368,71,pret,2024-06-12 11:03:07.506386,632.38
173,72,carte_credit,2024-01-11 11:03:07.506389,17963.55
443,73,carte_credit,2024-01-28 11:03:07.506391,15707.23
695,74,pret,2023-11-24 11:03:07.506394,1777.33
527,75,compte_courant,2023-08-14 11:03:07.506396,5977.81
831,76,compte_courant,2024-04-15 11:03:07.506399,19408.64
295,77,carte_credit,2024-05-19 11:03:07.506401,10552.26
304,78,compte_courant,2024-02-29 11:03:07.506405,2242.36
47,79,carte_credit,2024-02-27 11:03:07.506408,16717.52
152,80,pret,2024-06-25 11:03:07.506410,2961.95
849,81,pret,2024-05-19 11:03:07.506413,5974.39
858,82,carte_credit,2023-12-29 11:03:07.506415,10996.08
542,83,compte_courant,2023-08-08 11:03:07.506418,3975.24
271,84,pret,2023-08-05 11:03:07.506421,6741.95
507,85,pret,2023-11-08 11:03:07.506423,2582.07
855,86,pret,2024-04-22 11:03:07.506426,1160.07
178,87,pret,2024-03-22 11:03:07.506429,15857.83
134,88,pret,2023-12-12 11:03:07.506431,12085.63
584,89,compte_courant,2024-03-31 11:03:07.506434,683.14
361,90,compte_courant,2024-06-19 11:03:07.506437,6224.14
21,91,pret,2023-11-02 11:03:07.506439,4409.38
434,92,carte_credit,2023-10-17 11:03:07.506442,7531.61
607,93,compte_courant,2023-12-08 11:03:07.506444,6477.06
263,94,compte_courant,2024-02-03 11:03:07.506447,15136.07
874,95,compte_courant,2024-01-15 11:03:07.506450,993.57
728,96,pret,2024-02-09 11:03:07.506452,18952.19
149,97,pret,2023-11-28 11:03:07.506455,11955.68
302,98,pret,2023-11-11 11:03:07.506457,13844.86
183,99,compte_courant,2024-02-03 11:03:07.506460,13143.28
595,100,pret,2024-01-29 11:03:07.506463,8014.92
215,101,pret,2024-02-18 11:03:07.506465,6961.87
871,102,pret,2024-06-22 11:03:07.506468,1730.32
378,103,carte_credit,2023-12-22 11:03:07.506470,1276.1
43,104,compte_courant,2023-10-13 11:03:07.506473,13157.87
139,105,compte_courant,2024-04-15 11:03:07.506476,11741.98
720,106,pret,2024-05-30 11:03:07.506478,613.09
900,107,compte_courant,2023-11-01 11:03:07.506481,3703.73
621,108,pret,2023-10-09 11:03:07.506483,8433.44
624,109,pret,2024-05-16 11:03:07.506486,4317.42
402,110,carte_credit,2023-08-17 11:03:07.506489,7719.89
919,111,compte_courant,2024-03-23 11:03:07.506491,14821.31
234,112,compte_courant,2023-09-02 11:03:07.506494,7290.82
783,113,carte_credit,2023-12-24 11:03:07.506497,12535.24
44,114,carte_credit,2023-12-28 11:03:07.506499,6521.71
927,115,compte_courant,2024-06-02 11:03:07.506502,15935.66
329,116,compte_courant,2024-02-19 11:03:07.506504,7836.61
467,117,compte_courant,2023-08-13 11:03:07.506507,3320.66
791,118,carte_credit,2023-07-14 11:03:07.506509,7900.94
90,119,pret,2023-08-12 11:03:07.506512,18457.95
338,120,pret,2023-12-05 11:03:07.506515,16144.67
999,121,compte_courant,2023-08-12 11:03:07.506517,17215.93
580,122,pret,2024-01-04 11:03:07.506520,1760.48
