client_id,interaction_id,timestamp,interaction_type,duration_seconds
679,1,2023-12-26 11:03:07.463614,email,355
46,2,2023-08-09 11:03:07.463635,visite_site,49
21,3,2024-02-07 11:03:07.463639,email,84
62,4,2023-08-04 11:03:07.463642,email,107
698,5,2023-08-17 11:03:07.463645,visite_site,202
164,6,2023-09-13 11:03:07.463648,visite_site,404
280,7,2023-10-14 11:03:07.463651,appel_service_client,366
207,8,2023-08-01 11:03:07.463653,email,277
488,9,2024-04-25 11:03:07.463656,email,235
161,10,2024-02-11 11:03:07.463659,appel_service_client,33
284,11,2023-10-08 11:03:07.463665,email,332
247,12,2023-12-14 11:03:07.463668,visite_site,349
459,13,2024-06-10 11:03:07.463672,visite_site,491
999,14,2023-10-31 11:03:07.463675,email,577
338,15,2023-11-18 11:03:07.463677,visite_site,83
904,16,2024-06-05 11:03:07.463680,email,512
782,17,2023-07-05 11:03:07.463682,visite_site,446
98,18,2024-05-28 11:03:07.463685,email,239
179,19,2024-03-14 11:03:07.463687,visite_site,285
875,20,2024-05-08 11:03:07.463690,email,370
565,21,2023-10-24 11:03:07.463693,visite_site,414
922,22,2023-11-21 11:03:07.463695,appel_service_client,100
972,23,2023-10-24 11:03:07.463698,email,221
869,24,2024-03-30 11:03:07.463700,appel_service_client,511
173,25,2024-06-16 11:03:07.463703,email,254
166,26,2023-12-28 11:03:07.463705,visite_site,207
48,27,2023-09-02 11:03:07.463708,email,33
430,28,2024-06-16 11:03:07.463710,appel_service_client,321
19,29,2024-02-01 11:03:07.463713,visite_site,250
95,30,2023-10-29 11:03:07.463715,visite_site,348
596,31,2024-04-22 11:03:07.463718,visite_site,434
576,32,2023-10-03 11:03:07.463720,appel_service_client,52
563,33,2023-09-08 11:03:07.463723,appel_service_client,458
256,34,2023-10-29 11:03:07.463725,visite_site,569
308,35,2023-07-21 11:03:07.463728,appel_service_client,526
802,36,2024-06-22 11:03:07.463730,email,74
464,37,2024-04-12 11:03:07.463733,email,254
411,38,2023-12-14 11:03:07.463735,email,51
797,39,2024-06-07 11:03:07.463737,visite_site,400
926,40,2023-10-24 11:03:07.463740,visite_site,102
616,41,2024-05-29 11:03:07.463742,visite_site,165
34,42,2023-11-02 11:03:07.463745,appel_service_client,438
599,43,2023-11-26 11:03:07.463748,email,170
650,44,2024-02-26 11:03:07.463750,appel_service_client,133
246,45,2023-09-27 11:03:07.463753,email,48
304,46,2023-09-12 11:03:07.463755,appel_service_client,166
216,47,2023-11-28 11:03:07.463758,email,361
156,48,2023-08-10 11:03:07.463760,appel_service_client,452
562,49,2024-05-21 11:03:07.463763,email,107
956,50,2024-04-29 11:03:07.463765,appel_service_client,414
159,51,2024-03-18 11:03:07.463768,appel_service_client,31
643,52,2024-06-06 11:03:07.463770,visite_site,207
881,53,2024-05-07 11:03:07.463773,visite_site,202
52,54,2024-06-28 11:03:07.463776,appel_service_client,104
943,55,2023-11-17 11:03:07.463778,appel_service_client,115
676,56,2023-09-28 11:03:07.463781,appel_service_client,115
177,57,2024-03-03 11:03:07.463783,email,567
139,58,2023-12-12 11:03:07.463786,visite_site,43
963,59,2024-02-18 11:03:07.463788,email,487
711,60,2024-04-19 11:03:07.463791,visite_site,278
254,61,2023-10-06 11:03:07.463793,appel_service_client,194
898,62,2024-06-29 11:03:07.463796,appel_service_client,379
531,63,2024-04-02 11:03:07.463798,visite_site,568
662,64,2023-10-11 11:03:07.463801,appel_service_client,108
943,65,2024-05-24 11:03:07.463803,email,499
198,66,2024-04-26 11:03:07.463806,email,195
178,67,2024-05-21 11:03:07.463809,visite_site,246
368,68,2023-08-05 11:03:07.463811,email,108
479,69,2024-02-29 11:03:07.463814,email,411
851,70,2024-03-29 11:03:07.463817,visite_site,545
699,71,2024-01-09 11:03:07.463819,appel_service_client,398
108,72,2024-04-20 11:03:07.463822,appel_service_client,527
271,73,2023-07-07 11:03:07.463824,appel_service_client,257
957,74,2024-01-05 11:03:07.463827,appel_service_client,237
322,75,2023-07-31 11:03:07.463829,email,180
159,76,2023-09-29 11:03:07.463832,appel_service_client,124
734,77,2023-11-09 11:03:07.463834,visite_site,381
456,78,2023-10-02 11:03:07.463837,email,114
483,79,2023-09-02 11:03:07.463840,email,58
383,80,2023-10-14 11:03:07.463842,appel_service_client,338
204,81,2023-12-03 11:03:07.463844,appel_service_client,511
336,82,2024-02-29 11:03:07.463847,visite_site,399
664,83,2023-08-08 11:03:07.463850,email,563
517,84,2024-06-24 11:03:07.463852,appel_service_client,234
603,85,2024-05-26 11:03:07.463854,email,515
789,86,2023-08-15 11:03:07.463857,visite_site,82
733,87,2023-08-23 11:03:07.463859,appel_service_client,535
129,88,2023-08-17 11:03:07.463862,email,227
518,89,2023-08-29 11:03:07.463864,appel_service_client,234
129,90,2024-03-17 11:03:07.463867,email,341
425,91,2024-05-16 11:03:07.463869,appel_service_client,462
994,92,2023-08-07 11:03:07.463872,email,396
487,93,2023-10-15 11:03:07.463874,visite_site,541
593,94,2024-03-30 11:03:07.463878,appel_service_client,272
514,95,2024-05-26 11:03:07.463881,email,49
191,96,2023-10-24 11:03:07.463883,visite_site,80
872,97,2024-02-12 11:03:07.463886,appel_service_client,359
517,98,2023-07-25 11:03:07.463888,appel_service_client,501
139,99,2024-04-09 11:03:07.463891,visite_site,66
396,100,2024-03-16 11:03:07.463893,email,384
589,101,2024-02-20 11:03:07.463896,email,528
435,102,2024-04-18 11:03:07.463898,email,284
959,103,2023-12-13 11:03:07.463901,appel_service_client,373
492,104,2024-02-02 11:03:07.463903,appel_service_client,503
122,105,2023-10-28 11:03:07.463906,email,330
590,106,2023-07-12 11:03:07.463908,visite_site,439
397,107,2023-08-25 11:03:07.463911,visite_site,417
826,108,2024-01-05 11:03:07.463913,visite_site,513
638,109,2024-01-16 11:03:07.463916,appel_service_client,256
920,110,2023-08-04 11:03:07.463918,email,277
176,111,2024-04-03 11:03:07.463921,visite_site,521
192,112,2023-07-30 11:03:07.463923,appel_service_client,485
831,113,2023-08-14 11:03:07.463926,appel_service_client,436
876,114,2023-11-14 11:03:07.463929,visite_site,465
786,115,2024-06-04 11:03:07.463932,visite_site,113
384,116,2024-04-07 11:03:07.463934,email,302
934,117,2024-06-11 11:03:07.463937,visite_site,522
987,118,2023-08-15 11:03:07.463939,email,473
610,119,2023-09-24 11:03:07.463942,visite_site,556
359,120,2023-10-30 11:03:07.463945,email,558
449,121,2023-10-17 11:03:07.463947,appel_service_client,153
921,122,2023-07-23 11:03:07.463950,email,138
522,123,2024-06-09 11:03:07.463952,email,224
3,124,2023-10-09 11:03:07.463955,visite_site,507
721,125,2024-04-20 11:03:07.463957,visite_site,227
808,126,2024-02-06 11:03:07.463960,visite_site,583
312,127,2024-06-29 11:03:07.463962,appel_service_client,151
363,128,2024-03-13 11:03:07.463965,visite_site,42
832,129,2023-07-15 11:03:07.463967,appel_service_client,249
717,130,2024-03-08 11:03:07.463970,email,99
501,131,2023-10-05 11:03:07.463973,email,360
490,132,2024-01-16 11:03:07.463975,email,191
38,133,2024-04-07 11:03:07.463978,appel_service_client,373
975,134,2023-10-27 11:03:07.463980,visite_site,529
217,135,2024-05-12 11:03:07.463983,email,116
209,136,2023-09-20 11:03:07.463985,email,442
630,137,2023-09-17 11:03:07.463988,visite_site,186
618,138,2023-09-10 11:03:07.463991,appel_service_client,244
983,139,2023-07-14 11:03:07.463994,visite_site,342
373,140,2024-01-27 11:03:07.463997,appel_service_client,371
471,141,2023-08-26 11:03:07.463999,appel_service_client,110
554,142,2023-07-08 11:03:07.464002,visite_site,126
612,143,2023-12-14 11:03:07.464004,appel_service_client,490
80,144,2023-09-15 11:03:07.464007,email,495
969,145,2023-07-03 11:03:07.464009,email,265
560,146,2023-12-13 11:03:07.464012,email,81
926,147,2023-12-08 11:03:07.464014,email,484
98,148,2023-10-19 11:03:07.464017,visite_site,207
344,149,2023-08-12 11:03:07.464019,visite_site,537
427,150,2023-12-11 11:03:07.464022,appel_service_client,417
540,151,2024-06-04 11:03:07.464024,appel_service_client,288
329,152,2024-06-13 11:03:07.464027,visite_site,377
458,153,2023-08-18 11:03:07.464029,visite_site,449
795,154,2024-06-22 11:03:07.464032,visite_site,555
614,155,2024-01-03 11:03:07.464034,email,258
55,156,2023-09-30 11:03:07.464037,visite_site,197
151,157,2023-09-24 11:03:07.464039,visite_site,386
33,158,2024-01-12 11:03:07.464042,visite_site,564
245,159,2024-05-16 11:03:07.464044,visite_site,567
71,160,2024-01-20 11:03:07.464047,email,380
675,161,2024-05-10 11:03:07.464049,email,182
939,162,2023-12-05 11:03:07.464051,email,276
633,163,2024-06-11 11:03:07.464054,appel_service_client,509
846,164,2023-08-31 11:03:07.464056,appel_service_client,600
191,165,2023-07-24 11:03:07.464059,visite_site,438
29,166,2024-04-09 11:03:07.464062,email,319
261,167,2024-01-16 11:03:07.464064,email,206
967,168,2023-09-13 11:03:07.464067,email,345
466,169,2024-05-10 11:03:07.464069,email,480
508,170,2024-03-20 11:03:07.464072,email,523
780,171,2023-12-13 11:03:07.464074,appel_service_client,382
808,172,2023-10-22 11:03:07.464077,appel_service_client,48
379,173,2023-08-11 11:03:07.464079,appel_service_client,591
405,174,2024-01-30 11:03:07.464082,visite_site,429
332,175,2023-12-27 11:03:07.464084,email,248
737,176,2023-12-04 11:03:07.464087,visite_site,315
384,177,2023-09-24 11:03:07.464089,email,185
888,178,2024-03-19 11:03:07.464092,appel_service_client,294
199,179,2023-12-16 11:03:07.464094,appel_service_client,94
708,180,2023-10-07 11:03:07.464097,visite_site,110
5,181,2023-12-14 11:03:07.464100,email,241
806,182,2023-09-13 11:03:07.464103,email,466
130,183,2023-09-24 11:03:07.464105,email,338
607,184,2024-02-02 11:03:07.464108,appel_service_client,551
399,185,2023-08-19 11:03:07.464110,email,599
970,186,2024-05-12 11:03:07.464113,email,256
172,187,2024-02-25 11:03:07.464115,email,175
941,188,2023-08-17 11:03:07.464118,email,490
825,189,2024-01-17 11:03:07.464120,appel_service_client,234
462,190,2023-08-22 11:03:07.464123,email,82
480,191,2024-03-11 11:03:07.464125,visite_site,497
682,192,2024-03-17 11:03:07.464129,email,191
248,193,2024-05-13 11:03:07.464133,email,181
741,194,2023-11-22 11:03:07.464138,email,127
765,195,2023-10-10 11:03:07.464142,email,470
20,196,2024-02-21 11:03:07.464146,appel_service_client,378
418,197,2024-04-02 11:03:07.464149,visite_site,255
822,198,2024-02-02 11:03:07.464152,appel_service_client,322
339,199,2024-04-25 11:03:07.464154,visite_site,536
692,200,2023-08-27 11:03:07.464157,email,454
472,201,2023-10-07 11:03:07.464160,visite_site,180
150,202,2023-08-03 11:03:07.464162,visite_site,419
526,203,2024-05-01 11:03:07.464165,appel_service_client,143
460,204,2024-05-20 11:03:07.464167,appel_service_client,584
642,205,2023-10-01 11:03:07.464170,appel_service_client,135
867,206,2023-10-16 11:03:07.464173,visite_site,580
701,207,2023-08-23 11:03:07.464176,email,511
859,208,2023-09-04 11:03:07.464178,email,132
259,209,2024-01-31 11:03:07.464192,appel_service_client,327
67,210,2023-07-19 11:03:07.464194,appel_service_client,344
946,211,2024-05-17 11:03:07.464197,appel_service_client,350
206,212,2024-01-17 11:03:07.464199,appel_service_client,106
891,213,2024-05-02 11:03:07.464202,appel_service_client,160
820,214,2023-10-31 11:03:07.464204,visite_site,300
679,215,2024-02-27 11:03:07.464207,appel_service_client,561
946,216,2024-02-01 11:03:07.464209,visite_site,225
